,name,networth,rank,year
0,Jeff Bezos,177.0,1,2021
1,Elon Musk,151.0,2,2021
2,Bernard Arnault & family,150.0,3,2021
3,Bill Gates,124.0,4,2021
4,Mark Zuckerberg,97.0,5,2021
5,Warren Buffett,96.0,6,2021
6,Larry Ellison,93.0,7,2021
7,Larry Page,91.5,8,2021
8,Sergey Brin,89.0,9,2021
9,Mukesh Ambani,84.5,10,2021
13,Steve Ballmer,68.7,14,2021
15,Carlos Slim Helu & family,62.8,16,2021
17,Jim Walton,60.2,18,2021
18,Rob Walton,59.5,19,2021
19,Michael Bloomberg,59.0,20,2021
21,MacKenzie Scott,53.0,22,2021
22,Daniel Gilbert,51.9,23,2021
24,Phil Knight & family,49.9,25,2021
26,Charles Koch,46.4,27,2021
28,Masayoshi Son,45.4,29,2021
29,Michael Dell,45.1,30,2021
30,Tadashi Yanai & family,44.1,31,2021
31,François Pinault & family,42.3,32,2021
32,David Thomson & family,41.8,33,2021
35,Miriam Adelson,38.2,36,2021
42,Li Ka-shing,33.7,43,2021
47,Jacqueline Mars,31.3,48,2021
48,John Mars,31.3,48,2021
50,Alexey Mordashov & family,29.1,51,2021
52,Hui Ka Yan,27.7,53,2021
53,Susanne Klatten,27.7,53,2021
54,Vladimir Potanin,27.0,55,2021
55,Dietrich Mateschitz,26.9,56,2021
58,Vladimir Lisin,26.2,59,2021
63,Leonard Lauder,25.5,64,2021
64,Thomas Peterffy,25.0,65,2021
65,Vagit Alekperov,24.9,66,2021
66,Leonid Mikhelson,24.9,66,2021
67,Jim Simons,24.6,68,2021
68,Jiang Rensheng & family,24.4,69,2021
70,Rupert Murdoch & family,23.5,71,2021
71,Shiv Nadar,23.5,71,2021
74,Lei Jun,23.0,75,2021
77,Gennady Timchenko,22.0,78,2021
78,Stephen Schwarzman,21.9,79,2021
80,Stefan Quandt,21.6,81,2021
82,Pierre Omidyar,21.4,83,2021
83,Stefan Persson,21.3,84,2021
84,Abigail Johnson,20.9,85,2021
86,Andrew Forrest,20.4,87,2021
87,Ray Dalio,20.3,88,2021
94,Laurene Powell Jobs & family,19.0,95,2021
95,Eric Schmidt,18.9,96,2021
96,Sun Piaoyang,18.9,96,2021
100,Wu Yajun,18.3,100,2021
103,Peter Woo,18.0,104,2021
105,Andrey Melnichenko,17.9,105,2021
108,Donald Newhouse,17.6,109,2021
111,Pavel Durov,17.2,112,2021
113,Jorge Paulo Lemann & family,16.9,114,2021
