,country,geometry,longitude,latitude
277,Denmark,POINT (9.1159357 55.7309428),9.1159357,55.7309428
422,Norway,POINT (-73.4692873 41.0787079),-73.4692873,41.0787079
455,Romania,POINT (-74.00601519999999 40.7127281),-74.0060152,40.7127281
610,Eswatini (Swaziland),POINT (31.178316 -26.4018193),31.178316,-26.4018193
964,Venezuela,POINT (-8.3958768 43.3712091),-8.3958768,43.3712091
1336,Argentina,POINT (-58.4370894 -34.6075682),-58.4370894,-34.6075682
1339,United Arab Emirates,POINT (55.1885387 25.0742823),55.1885387,25.0742823
1409,Greece,POINT (8.5539378 47.1486137),8.5539378,47.1486137
1450,Iceland,POINT (-0.1276474 51.5073219),-0.1276474,51.5073219
1542,Poland,POINT (21.0067249 52.2319581),21.0067249,52.2319581
1964,Vietnam,POINT (105.8544441 21.0294498),105.8544441,21.0294498
2087,Zimbabwe,POINT (-0.1276474 51.5073219),-0.1276474,51.5073219
